"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/Arrivals/Total arrivals flights (number)";"Commercial air traffic/Flights/Arrivals/Scheduled (number)";"Commercial air traffic/Flights/Arrivals/Non-scheduled (number)";"Commercial air traffic/Flights/Departures/Total departures flights (number)";"Commercial air traffic/Flights/Departures/Scheduled (number)";"Commercial air traffic/Flights/Departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number)";"Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Total departures passengers (number)";"Commercial air traffic/Passengers/Passenger departures/Scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Country of origin/destination/Total country of origin/destination (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Europe total (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/EU countries (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Other Europe (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Total intercontinental passengers (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/North Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/West Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Central Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/East Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/South Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/North America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/Central America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/South America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/West Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/South-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/North-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Oceania (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Other/unknown (number)";"Commercial air traffic/Passengers/Country of origin/destination/Unknown (number)"
"Amsterdam Airport Schiphol";"2016 October";"   44334";"     510";"   21699";"   20871";"     828";"   21690";"   20772";"     918";" 2921833";" 2804902";"  116931";" 2860940";" 2768183";"   92757";" 5782773";" 4148178";" 3484875";"  663303";" 1634595";"  218522";"   64575";"   45682";"    7845";"   62828";"   37592";"  829436";"  574585";"  133566";"  121285";"  586637";"  202260";"  168711";"  215666";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 November";"   37289";"     459";"   18165";"   17765";"     400";"   18160";"   17734";"     426";" 2353958";" 2310685";"   43273";" 2340154";" 2301566";"   38588";" 4694112";" 3286965";" 2791429";"  495536";" 1407147";"  211548";"   54192";"   53816";"    6386";"   56129";"   41025";"  657404";"  414007";"  130314";"  113083";"  538195";"  189631";"  169595";"  178969";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 December";"   37131";"     368";"   18198";"   17786";"     412";"   18173";"   17733";"     440";" 2333003";" 2292115";"   40888";" 2414642";" 2371090";"   43552";" 4747645";" 3242654";" 2734762";"  507892";" 1504991";"  225498";"   58056";"   57260";"    7601";"   60538";"   42043";"  711129";"  448810";"  138701";"  123618";"  568364";"  210321";"  174539";"  183504";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 January";"   36373";"     374";"   17826";"   17368";"     458";"   17837";"   17345";"     492";" 2310862";" 2263724";"   47138";" 2248665";" 2205156";"   43509";" 4559527";" 3060824";" 2572846";"  487978";" 1498703";"  225715";"   55561";"   57671";"    7124";"   61396";"   43963";"  684200";"  415992";"  142773";"  125435";"  588788";"  211757";"  181368";"  195663";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 February";"   34292";"     381";"   16697";"   16292";"     405";"   16703";"   16230";"     473";" 2129390";" 2085722";"   43668";" 2194882";" 2148121";"   46761";" 4324272";" 3013325";" 2541735";"  471590";" 1310947";"  203953";"   49387";"   53306";"    6542";"   56220";"   38498";"  581488";"  347868";"  125984";"  107636";"  525506";"  190369";"  157063";"  178074";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 March";"   40468";"     519";"   19713";"   19232";"     481";"   19723";"   19204";"     519";" 2622918";" 2572030";"   50888";" 2538306";" 2489061";"   49245";" 5161224";" 3625271";" 3067077";"  558194";" 1535953";"  227072";"   60459";"   57530";"    7119";"   59109";"   42855";"  720334";"  465218";"  137764";"  117352";"  588547";"  216506";"  167836";"  204205";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 April";"   42894";"     518";"   20936";"   20183";"     753";"   20937";"   20158";"     779";" 2859626";" 2779869";"   79757";" 2977599";" 2867227";"  110372";" 5837225";" 4146176";" 3501837";"  644339";" 1691049";"  222355";"   67994";"   53730";"    6235";"   54071";"   40325";"  865902";"  602264";"  142553";"  121085";"  602792";"  221739";"  161291";"  219762";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 May";"   46630";"     482";"   22714";"   21687";"    1027";"   22704";"   21637";"    1067";" 3134261";" 2982077";"  152184";" 3073690";" 2921496";"  152194";" 6207951";" 4502206";" 3816377";"  685829";" 1705745";"  201717";"   57059";"   45833";"    7974";"   52615";"   38236";"  912406";"  652156";"  138577";"  121673";"  591622";"  202338";"  159184";"  230100";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 June";"   45193";"     419";"   22003";"   21012";"     991";"   22008";"   20982";"    1026";" 3087275";" 2940775";"  146500";" 3057500";" 2908191";"  149309";" 6144775";" 4462101";" 3780026";"  682075";" 1682674";"  191099";"   39760";"   45067";"    8662";"   61381";"   36229";"  909338";"  656140";"  136005";"  117193";"  582237";"  191349";"  162263";"  228625";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 July";"   47602";"     432";"   23241";"   21700";"    1541";"   23254";"   21696";"    1558";" 3182386";" 2969260";"  213126";" 3546888";" 3286082";"  260806";" 6729274";" 4863967";" 4065720";"  798247";" 1865307";"  252660";"   82911";"   48495";"    9042";"   72047";"   40165";"  952462";"  673050";"  149944";"  129468";"  660185";"  242016";"  174189";"  243980";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 August";"   47755";"     480";"   23432";"   21805";"    1627";"   23431";"   21773";"    1658";" 3520949";" 3240196";"  280753";" 3267719";" 3016178";"  251541";" 6788668";" 4904378";" 4073547";"  830831";" 1884290";"  265226";"   98539";"   48355";"    8783";"   68096";"   41453";"  958942";"  682603";"  145887";"  130452";"  660122";"  246512";"  174183";"  239427";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 September";"   45392";"     457";"   22133";"   20956";"    1177";"   22136";"   20934";"    1202";" 3160005";" 2973626";"  186379";" 3098276";" 2931442";"  166834";" 6258281";" 4527676";" 3816494";"  711182";" 1730605";"  227513";"   70095";"   47440";"    7580";"   63212";"   39186";"  889357";"  631746";"  132478";"  125133";"  613735";"  214627";"  167095";"  232013";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 October";"   45957";"     442";"   22426";"   21453";"     973";"   22423";"   21391";"    1032";" 3140562";" 2991662";"  148900";" 3102346";" 2985636";"  116710";" 6242908";" 4512232";" 3798584";"  713648";" 1730676";"  246879";"   76421";"   56485";"    6712";"   64357";"   42904";"  859618";"  597935";"  136262";"  125421";"  624179";"  220567";"  170520";"  233092";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 November";"   39037";"     476";"   18983";"   18638";"     345";"   18980";"   18585";"     395";" 2597443";" 2558038";"   39405";" 2573314";" 2536543";"   36771";" 5170757";" 3643001";" 3096871";"  546130";" 1527756";"  241642";"   63802";"   61157";"    6822";"   65529";"   44332";"  708793";"  448065";"  141890";"  118838";"  577321";"  194575";"  183500";"  199246";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2017 December";"   37324";"     404";"   18259";"   17843";"     416";"   18240";"   17811";"     429";" 2438150";" 2398904";"   39246";" 2537375";" 2495308";"   42067";" 4975525";" 3387426";" 2859205";"  528221";" 1588099";"  251478";"   64991";"   65106";"    7966";"   68194";"   45221";"  746677";"  468071";"  152098";"  126508";"  589944";"  202452";"  197469";"  190023";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 January";"   37971";"     399";"   18551";"   18123";"     428";"   18562";"   18098";"     464";" 2477411";" 2434350";"   43061";" 2431578";" 2390794";"   40784";" 4908989";" 3322876";" 2792907";"  529969";" 1586113";"  253991";"   61859";"   68379";"    7623";"   71796";"   44334";"  733448";"  439423";"  159102";"  134923";"  598674";"  198863";"  200566";"  199245";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 February";"   35948";"     461";"   17535";"   17166";"     369";"   17534";"   17103";"     431";" 2333281";" 2293973";"   39308";" 2408525";" 2366715";"   41810";" 4741806";" 3316805";" 2802166";"  514639";" 1425001";"  227227";"   55921";"   60380";"    6733";"   64219";"   39974";"  641702";"  376979";"  143252";"  121471";"  556072";"  182629";"  180872";"  192571";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 March";"   41220";"     455";"   20019";"   19579";"     440";"   20040";"   19575";"     465";" 2817115";" 2772650";"   44465";" 2742341";" 2697384";"   44957";" 5559456";" 3886460";" 3292053";"  594407";" 1672996";"  257361";"   71951";"   64794";"    6788";"   70100";"   43728";"  795271";"  511992";"  150881";"  132398";"  620364";"  212990";"  191275";"  216099";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 April";"   42901";"     448";"   20933";"   20238";"     695";"   20928";"   20249";"     679";" 2934838";" 2863160";"   71678";" 3082077";" 2984604";"   97473";" 6016915";" 4247799";" 3591583";"  656216";" 1769116";"  238004";"   73919";"   56906";"    5551";"   57896";"   43732";"  903740";"  632932";"  139769";"  131039";"  627372";"  217204";"  176696";"  233472";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 May";"   45892";"     507";"   22368";"   21366";"    1002";"   22374";"   21351";"    1023";" 3236091";" 3088356";"  147735";" 3157845";" 3005886";"  151959";" 6393936";" 4617220";" 3895133";"  722087";" 1776716";"  217560";"   61622";"   48918";"    7162";"   57734";"   42124";"  962691";"  691099";"  137073";"  134519";"  596465";"  191259";"  174269";"  230937";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 June";"   44775";"     503";"   21748";"   20823";"     925";"   21751";"   20826";"     925";" 3192260";" 3059699";"  132561";" 3185133";" 3047212";"  137921";" 6377393";" 4552594";" 3840755";"  711839";" 1824799";"  221629";"   56424";"   48162";"    7845";"   68184";"   41014";"  991079";"  723555";"  133962";"  133562";"  612091";"  195720";"  178626";"  237745";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 July";"   46761";"     513";"   22779";"   21649";"    1130";"   22772";"   21668";"    1104";" 3188416";" 3036334";"  152082";" 3576588";" 3394009";"  182579";" 6765004";" 4797829";" 4026378";"  771451";" 1967175";"  264113";"   82347";"   51425";"    8742";"   77168";"   44431";" 1031540";"  741174";"  142610";"  147756";"  671522";"  230359";"  191515";"  249648";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 August";"   46648";"     447";"   22856";"   21693";"    1163";"   22857";"   21673";"    1184";" 3526769";" 3334833";"  191936";" 3309899";" 3127584";"  182315";" 6836668";" 4820950";" 4028082";"  792868";" 2015718";"  279210";"   98140";"   52748";"    9003";"   74350";"   44969";" 1044614";"  755913";"  142665";"  146036";"  691894";"  244056";"  191120";"  256718";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 September";"   45341";"     443";"   22101";"   21139";"     962";"   22097";"   21113";"     984";" 3212601";" 3066366";"  146235";" 3184339";" 3043433";"  140906";" 6396940";" 4563606";" 3835449";"  728157";" 1833334";"  240643";"   73549";"   50866";"    7835";"   64895";"   43498";"  969446";"  696027";"  131439";"  141980";"  623245";"  202974";"  180637";"  239634";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 October";"   46170";"     539";"   22549";"   21717";"     832";"   22551";"   21673";"     878";" 3211073";" 3089665";"  121408";" 3191217";" 3096101";"   95116";" 6402290";" 4562671";" 3826613";"  736058";" 1839619";"  261075";"   77026";"   60275";"    6774";"   71122";"   45878";"  942167";"  660868";"  141800";"  139499";"  636377";"  208226";"  186368";"  241783";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 November";"   39363";"     534";"   19193";"   18842";"     351";"   19189";"   18837";"     352";" 2657363";" 2624650";"   32713";" 2639580";" 2607926";"   31654";" 5296943";" 3700208";" 3153475";"  546733";" 1596735";"  244210";"   65974";"   59319";"    6953";"   67643";"   44321";"  770229";"  497467";"  140476";"  132286";"  582296";"  185732";"  189625";"  206939";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2018 December";"   39038";"     457";"   19084";"   18719";"     365";"   19073";"   18703";"     370";" 2573846";" 2542715";"   31131";" 2686408";" 2652013";"   34395";" 5260254";" 3590638";" 3048012";"  542626";" 1669616";"  251163";"   66811";"   62358";"    7445";"   70521";"   44028";"  816561";"  519102";"  153675";"  143784";"  601892";"  200158";"  202731";"  199003";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 January";"   38009";"     515";"   18588";"   18241";"     347";"   18597";"   18249";"     348";" 2520292";" 2487385";"   32907";" 2475839";" 2443892";"   31947";" 4996131";" 3373101";" 2856935";"  516166";" 1623030";"  251099";"   65528";"   63481";"    7115";"   72596";"   42379";"  771225";"  462521";"  163260";"  145444";"  600706";"  197945";"  198530";"  204231";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 February";"   36127";"     434";"   17590";"   17378";"     212";"   17605";"   17390";"     215";" 2386195";" 2372975";"   13220";" 2450137";" 2436148";"   13989";" 4836332";" 3383286";" 2874499";"  508787";" 1453046";"  222215";"   61188";"   51236";"    6866";"   63531";"   39394";"  678346";"  401645";"  145265";"  131436";"  552485";"  190308";"  171647";"  190530";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 March";"   40748";"     534";"   19897";"   19706";"     191";"   19888";"   19698";"     190";" 2847589";" 2837869";"    9720";" 2782725";" 2774073";"    8652";" 5630314";" 3947789";" 3361481";"  586308";" 1682525";"  242485";"   72829";"   56000";"    7125";"   63670";"   42861";"  835790";"  543295";"  153256";"  139239";"  604250";"  215944";"  178766";"  209540";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 April";"   42976";"     564";"   20940";"   20621";"     319";"   20952";"   20704";"     248";" 2983771";" 2971595";"   12176";" 3120239";" 3100810";"   19429";" 6104010";" 4314805";" 3657659";"  657146";" 1789205";"  234673";"   77102";"   49749";"    6636";"   56495";"   44691";"  936294";"  660685";"  141074";"  134535";"  618238";"  223839";"  153991";"  240408";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 May";"   45990";"     521";"   22352";"   21979";"     373";"   22354";"   21958";"     396";" 3236047";" 3201298";"   34749";" 3205426";" 3165848";"   39578";" 6441473";" 4651471";" 3931201";"  720270";" 1790002";"  209237";"   54913";"   45509";"    7951";"   57177";"   43687";"  997494";"  726649";"  138900";"  131945";"  583271";"  199898";"  132977";"  250396";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 June";"   44742";"     505";"   21676";"   21325";"     351";"   21672";"   21336";"     336";" 3273870";" 3238290";"   35580";" 3228718";" 3190237";"   38481";" 6502588";" 4652003";" 3931186";"  720817";" 1850585";"  228331";"   65839";"   44209";"    8549";"   66581";"   43153";" 1027668";"  762961";"  134721";"  129986";"  594586";"  214493";"  130830";"  249263";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 July";"   45936";"     492";"   22366";"   21937";"     429";"   22370";"   21969";"     401";" 3166610";" 3127298";"   39312";" 3557413";" 3505673";"   51740";" 6724023";" 4758165";" 3992902";"  765263";" 1965858";"  254773";"   79437";"   46725";"    9217";"   74037";"   45357";" 1064565";"  777044";"  142481";"  145040";"  646520";"  243180";"  140403";"  262937";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 August";"   46167";"     483";"   22558";"   22139";"     419";"   22564";"   22126";"     438";" 3523240";" 3470359";"   52881";" 3287519";" 3234095";"   53424";" 6810759";" 4804762";" 4007196";"  797566";" 2005997";"  265412";"   88852";"   46264";"    8845";"   74963";"   46488";" 1080202";"  793609";"  143389";"  143204";"  660383";"  251293";"  144489";"  264601";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 September";"   45302";"     456";"   22075";"   21677";"     398";"   22056";"   21641";"     415";" 3252568";" 3215636";"   36932";" 3240900";" 3202920";"   37980";" 6493468";" 4649227";" 3910988";"  738239";" 1844241";"  239167";"   70998";"   45971";"    7239";"   68768";"   46191";"  998333";"  736288";"  131848";"  130197";"  606741";"  214544";"  137525";"  254672";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 October";"   45643";"     546";"   22251";"   21970";"     281";"   22251";"   21881";"     370";" 3227860";" 3204241";"   23619";" 3203262";" 3184037";"   19225";" 6431122";" 4604704";" 3865499";"  739205";" 1826418";"  248898";"   75847";"   49117";"    6570";"   68932";"   48432";"  964346";"  684886";"  140033";"  139427";"  613174";"  225690";"  138445";"  249039";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 November";"   38828";"     494";"   18901";"   18748";"     153";"   18899";"   18760";"     139";" 2668379";" 2663742";"    4637";" 2654927";" 2650634";"    4293";" 5323306";" 3717038";" 3173596";"  543442";" 1606268";"  233782";"   67705";"   52026";"    6502";"   60374";"   47175";"  795614";"  504089";"  150620";"  140905";"  576872";"  211274";"  148528";"  217070";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2019 December";"   39257";"     515";"   19213";"   19076";"     137";"   19212";"   19079";"     133";" 2640064";" 2635208";"    4856";" 2746139";" 2740455";"    5684";" 5386203";" 3698397";" 3152275";"  546122";" 1687806";"  242028";"   70033";"   54524";"    7880";"   61255";"   48336";"  855812";"  550494";"  157646";"  147672";"  589966";"  222175";"  158395";"  209396";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2020 January*";"   38410";"     468";"   18784";"   18628";"     156";"   18783";"   18635";"     148";" 2561003";" 2554007";"    6996";" 2513770";" 2507339";"    6431";" 5074773";" 3452707";" 2932396";"  520311";" 1622066";"  243533";"   66931";"   56185";"    7493";"   64933";"   47991";"  787734";"  481908";"  159765";"  146061";"  590799";"  216030";"  159427";"  215342";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2020 February*";"   35942";"     486";"   17492";"   17301";"     191";"   17487";"   17307";"     180";" 2342660";" 2333809";"    8851";" 2377109";" 2367253";"    9856";" 4719769";" 3330655";" 2828259";"  502396";" 1389114";"  229851";"   67910";"   51026";"    7044";"   58870";"   45001";"  712192";"  423686";"  154658";"  133848";"  447071";"  201699";"  141678";"  103694";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2020 March*";"   25883";"     529";"   12626";"   12425";"     201";"   12529";"   12194";"     335";" 1298133";" 1289921";"    8212";" 1178239";" 1173791";"    4448";" 2476372";" 1641935";" 1387274";"  254661";"  834437";"  145163";"   39428";"   33009";"    3890";"   36374";"   32462";"  436831";"  243685";"  105520";"   87626";"  252443";"  110189";"   97016";"   45238";"       0";"       0";"       0"
